Num,direction,Mileage,Road_Width,Total_Road_Width,Lane_Count,Total_Lanes,Aux_Lane_Count,Main_Lane_Count,Channelized_Area_Width,Inner_Shoulder_Width,Outer_Shoulder_Width,Curvature_Radius,Longitudinal_Slope,Cross_Slope,speed,tti_sipt,tti_sipt_normalized,Has_Ramp,Total_Lane_Width,Total_Shoulder_Width,Lane_Density,Shoulder_Ratio,Effective_Ratio,Curvature_Severity,Pavement_Type_flexible,Pavement_Type_rigid,Channelized_Area_no,Channelized_Area_yes,Inner_Shoulder_no,Inner_Shoulder_yes,Outer_Shoulder_no,Outer_Shoulder_yes,Aux_Lane1_acceleration_lane,Aux_Lane1_auxiliary_lane,Aux_Lane1_deceleration_lane,Aux_Lane1_no,Aux_Lane2_acceleration_lane,Aux_Lane2_auxiliary_lane,Aux_Lane2_deceleration_lane,Aux_Lane2_no,Aux_Lane3_acceleration_lane,Aux_Lane3_auxiliary_lane,Aux_Lane3_deceleration_lane,Aux_Lane3_no,Pull_Over_Area_no,Pull_Over_Area_yes,count,tti_sipt_adjusted
3,N,54700,15.52,15.518,3,9,3,6,0.0,0.958,3.13,1636.379,-0.013,-0.03,110,14944.896122847984,0.135634753798568,0,11.43,4.088,0.1933238819435494,0.2634360097950767,0.7365639902049232,0.0006107321518109,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.455600475435967
3,N,54750,16.113,16.112000000000002,3,9,3,6,0.0,0.974,3.751,1602.095,-0.013,-0.033,110,14945.44505555364,0.1356403067889158,0,11.387,4.725,0.186196623634558,0.2932596822244289,0.706740317775571,0.000623793349739,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.455727401183932
3,N,54800,17.369,17.368000000000002,3,9,3,6,0.0,0.961,5.032,1496.351,-0.012,-0.034,110,14905.320720995864,0.1352344099636426,0,11.375,5.993,0.1727314601566098,0.3450598802395209,0.654940119760479,0.0006678460828489,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.4464497408753783
3,N,54850,18.205,18.205,3,9,3,6,0.0,0.994,5.94,1765.444,-0.012,-0.032,110,14901.044946828308,0.1351911563326647,0,11.271,6.934,0.1647898928865696,0.3808843724251579,0.6191156275748421,0.0005661090869566,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.445461084472228
3,N,54900,12.312,12.312,3,9,3,6,2.398,0.92,0.0,1570.671,-0.011,-0.027,110,14862.0174895033,0.1347963554916963,0,11.392,0.92,0.2436647173489279,0.0747238466536712,0.9252761533463288,0.000636265477953,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.4364370471702106
3,N,54950,12.108,12.108,3,9,3,6,0.672,0.811,0.0,1677.451,-0.009,-0.026,110,14776.364537535304,0.1339298922428411,0,11.297,0.811,0.2477700693756194,0.0669805087545424,0.9330194912454576,0.0005957874254297,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.4166321332310234
3,N,55000,12.072,12.073,3,9,3,6,0.154,0.716,0.0,1520.838,-0.01,-0.028,110,14820.91729852678,0.1343805869258285,0,11.357,0.716,0.2484883624616914,0.0593058891741903,0.9406941108258096,0.0006571001644064,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.426933746624559
3,N,55050,20.158,20.157000000000004,5,9,3,6,0.0,0.598,2.31,382.817,-0.005,-0.036,110,9096.303743375163,0.0764705307576425,0,17.249000000000002,2.908,0.2480527856327826,0.1442675001240263,0.8557324998759736,0.0026054083065627,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,51898.0,2.1032726679352183
3,N,55100,16.011,16.009999999999998,4,9,3,6,0.0,0.534,0.894,518.993,-0.01,-0.031,110,11376.206487177804,0.0995339733253593,0,14.582,1.428,0.249843847595253,0.0891942535915053,0.9108057464084948,0.0019231028109993,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.630438125672158
3,N,55150,15.71,15.711,4,9,3,6,0.0,0.556,0.892,862.015,-0.008,-0.035,110,11260.070331013942,0.0983591426993594,0,14.263,1.448,0.2545986888167525,0.0921647253516644,0.9078352746483356,0.0011587284114412,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.6035848004194246
3,N,55200,15.597,15.598,4,9,3,6,0.0,0.568,0.765,1601.972,-0.009,-0.03,110,11279.55377097181,0.0985562367200194,0,14.265,1.333,0.2564431337350942,0.0854596743172201,0.91454032568278,0.0006238412149432,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.6080898156318493
3,N,55250,15.693,15.693,4,9,3,6,0.0,0.571,0.839,1621.463,-0.009,-0.027,110,11279.238798977178,0.098553050470725,0,14.283,1.41,0.254890715605684,0.0898489772510036,0.9101510227489964,0.0006163468750905,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.608016986930636
3,N,55300,15.634,15.634,4,9,3,6,0.0,0.549,0.828,2098.373,-0.009,-0.026,110,11273.355153724438,0.098493531653642,0,14.257,1.377,0.2558526288857617,0.0880772674939235,0.9119227325060764,0.0004763326955238,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.606656554100221
3,N,55350,15.757,15.758,4,9,3,6,0.0,0.539,0.943,2145.408,-0.009,-0.024,110,11272.91659440319,0.0984890951978565,0,14.276,1.482,0.2538393197106232,0.0940474679527858,0.9059525320472142,0.0004658946481749,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.606555149193385
3,N,55400,15.703,15.704,4,9,3,6,0.0,0.582,0.853,2363.049,-0.009,-0.022,110,11271.114581597309,0.0984708660786681,0,14.269,1.435,0.2547121752419765,0.091377992868059,0.9086220071319407,0.0004230030765013,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.606138482777134
3,N,55450,15.727,15.727,4,9,3,6,0.0,0.592,0.895,3253.989,-0.009,-0.021,110,11266.250963866563,0.0984216658360221,0,14.239999999999998,1.487,0.2543396706301266,0.0945507725567495,0.9054492274432504,0.000307220700285,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.6050139035492457
3,N,55500,15.937,15.936,4,9,3,6,0.0,0.591,1.059,3029.415,-0.008,-0.023,110,11225.231364959218,0.0980067125376317,0,14.286,1.65,0.251004016064257,0.103539156626506,0.896460843373494,0.0003299878069505,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,51898.0,2.5955292377261285
3,N,55550,15.933,15.933,4,9,3,6,0.0,0.537,1.018,3654.895,-0.008,-0.025,110,11222.860102999288,0.097982724907381,0,14.378,1.5550000000000002,0.2510512772233729,0.0975961840205862,0.9024038159794138,0.0002735308317115,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.594980947936172
3,N,55600,15.881,15.881,4,9,3,6,0.0,0.567,1.019,6944.581,-0.008,-0.026,110,11217.419672368174,0.0979276896389927,0,14.295,1.586,0.2518733077262137,0.0998677665134437,0.9001322334865562,0.0001439764362405,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.593722996424103
3,N,55650,15.871,15.871,4,9,3,6,0.0,0.597,1.047,5426.163,-0.008,-0.021,110,11219.11109541222,0.0979448000347498,0,14.227,1.644,0.2520320080650243,0.1035851553147249,0.896414844685275,0.000184258331655,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.5941140919678336
3,N,55700,15.771,15.771999999999998,4,9,3,6,0.0,0.551,1.024,15901.77,-0.009,-0.021,110,11255.990840751048,0.0983178746717474,0,14.197,1.5750000000000002,0.253613999492772,0.099860512300279,0.9001394876997211,6.28821268244463e-05,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.602641529326999
3,N,55750,15.749,15.748,4,9,3,6,0.0,0.605,0.953,10493.71,-0.011,-0.006,110,11341.302996052222,0.0991808904295314,0,14.19,1.5579999999999998,0.254000508001016,0.0989331978663957,0.9010668021336042,9.528610128340852e-05,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.6223676433123946
3,N,55800,15.7,15.7,4,9,3,6,0.0,0.593,0.826,5356584.0,-0.011,0.008,110,11337.310733503691,0.0991405047954277,0,14.281,1.419,0.2547770700636942,0.0903821656050955,0.9096178343949044,1.8668610691326658e-07,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.621444541254852
3,N,55850,15.689,15.689,4,9,3,6,0.0,0.568,0.853,12582.33,-0.009,0.014,110,11256.687239636449,0.0983249194265034,0,14.268,1.4209999999999998,0.2549557014468736,0.0905730129390018,0.9094269870609982,7.947021972721053e-05,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.602802552615465
